               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.033057,            0.016273,           0.0029051,             0.84998,              0.7969,             0.84594,             0.46178,            0.032813,           0.0088607,           0.0021008,            0.007393,            0.007393,            0.007393
                  81,             0.03276,            0.016841,           0.0025861,             0.86772,             0.82334,             0.85859,             0.47519,            0.032275,           0.0087474,           0.0018657,             0.00736,             0.00736,             0.00736
                  82,            0.033341,            0.017003,           0.0028471,             0.86022,             0.83657,             0.86222,             0.47858,            0.032443,           0.0088306,           0.0019184,            0.007327,            0.007327,            0.007327
                  83,            0.032451,            0.016544,           0.0027674,             0.85501,             0.83197,              0.8523,              0.4526,            0.032907,           0.0089842,           0.0016451,            0.007294,            0.007294,            0.007294
                  84,            0.032347,              0.0164,           0.0025326,             0.84899,             0.83533,             0.84859,             0.45214,            0.032377,           0.0087604,            0.001602,            0.007261,            0.007261,            0.007261
                  85,            0.032673,             0.01682,           0.0027065,             0.86612,             0.83432,             0.85744,             0.46732,            0.032678,           0.0087033,           0.0016245,            0.007228,            0.007228,            0.007228
                  86,            0.031996,            0.016431,           0.0027481,             0.85245,             0.83288,             0.84342,             0.46086,            0.032505,           0.0088012,           0.0015025,            0.007195,            0.007195,            0.007195
                  87,            0.032017,            0.016198,           0.0023828,             0.84768,             0.80829,             0.83403,             0.44507,            0.032431,           0.0087975,           0.0016438,            0.007162,            0.007162,            0.007162
                  88,            0.031898,              0.0168,           0.0026961,             0.87484,             0.85569,             0.87282,             0.47712,            0.032017,           0.0086375,           0.0015934,            0.007129,            0.007129,            0.007129
                  89,            0.032328,            0.016601,           0.0025895,              0.8435,             0.84476,             0.85078,              0.4746,            0.032461,           0.0088257,            0.001702,            0.007096,            0.007096,            0.007096
                  90,            0.031511,             0.01626,           0.0024689,             0.86374,             0.83796,             0.86157,             0.46895,            0.032152,           0.0088006,           0.0017253,            0.007063,            0.007063,            0.007063
                  91,            0.032026,            0.016603,           0.0025476,             0.87802,             0.84094,             0.85768,             0.46392,            0.032395,           0.0086392,           0.0014997,             0.00703,             0.00703,             0.00703
                  92,            0.031333,            0.016492,           0.0026716,             0.86253,             0.85803,             0.86967,             0.48058,             0.03261,           0.0086208,           0.0015345,            0.006997,            0.006997,            0.006997
                  93,            0.031828,            0.016451,           0.0023129,             0.88403,             0.83145,             0.87248,             0.46675,            0.032316,           0.0086597,           0.0015251,            0.006964,            0.006964,            0.006964
                  94,            0.031347,            0.016542,           0.0021881,             0.87017,             0.84756,             0.87177,             0.47462,            0.031984,           0.0086215,           0.0014245,            0.006931,            0.006931,            0.006931
                  95,             0.03169,            0.016015,           0.0023595,             0.85349,              0.8484,             0.84585,             0.46203,            0.031907,           0.0086222,           0.0015311,            0.006898,            0.006898,            0.006898
                  96,            0.031422,            0.016333,            0.002283,             0.86638,             0.84031,             0.84822,             0.47374,            0.031581,           0.0087049,           0.0016136,            0.006865,            0.006865,            0.006865
                  97,            0.031418,            0.015842,           0.0025403,             0.88453,             0.84146,             0.86537,             0.48318,            0.032062,            0.008515,           0.0016892,            0.006832,            0.006832,            0.006832
                  98,            0.031612,            0.016467,           0.0025197,             0.87097,             0.83273,              0.8558,             0.48093,            0.031609,           0.0085711,           0.0016168,            0.006799,            0.006799,            0.006799
                  99,            0.030923,            0.015889,           0.0022932,             0.88149,             0.86399,             0.87719,             0.47972,            0.031242,           0.0085153,           0.0014162,            0.006766,            0.006766,            0.006766
                 100,            0.031578,            0.016018,           0.0023071,             0.86187,             0.84319,             0.85299,             0.48243,            0.031944,           0.0084604,           0.0016369,            0.006733,            0.006733,            0.006733
                 101,            0.031531,            0.016556,           0.0024847,             0.86937,             0.85605,              0.8594,              0.4594,            0.031724,           0.0085594,            0.001624,              0.0067,              0.0067,              0.0067
                 102,            0.030826,            0.016082,             0.00208,             0.87252,             0.84514,              0.8561,             0.48132,            0.031646,           0.0085729,           0.0015685,            0.006667,            0.006667,            0.006667
                 103,            0.031016,            0.015874,           0.0024733,             0.87071,             0.85607,             0.86748,             0.47892,            0.031957,           0.0087707,           0.0014077,            0.006634,            0.006634,            0.006634
                 104,            0.031064,            0.015823,           0.0020071,             0.86821,             0.84419,             0.86206,             0.47475,            0.031899,           0.0086707,           0.0013986,            0.006601,            0.006601,            0.006601
                 105,            0.030949,            0.016241,           0.0021749,             0.88522,             0.85144,             0.87266,             0.48426,            0.031695,           0.0085957,           0.0015135,            0.006568,            0.006568,            0.006568
                 106,            0.030888,            0.015824,           0.0021439,              0.8811,             0.83389,             0.86065,             0.48496,            0.032026,           0.0086811,            0.001568,            0.006535,            0.006535,            0.006535
                 107,            0.030949,            0.015853,           0.0021478,             0.85961,             0.85068,             0.87015,             0.48471,            0.031157,           0.0086618,            0.001821,            0.006502,            0.006502,            0.006502
                 108,            0.030768,            0.016293,           0.0019638,             0.86821,             0.85826,              0.8762,             0.49948,            0.031217,           0.0085032,           0.0016003,            0.006469,            0.006469,            0.006469
                 109,            0.030843,            0.015587,           0.0026213,             0.87596,             0.84865,             0.87534,             0.49833,            0.031439,           0.0087148,           0.0017927,            0.006436,            0.006436,            0.006436
                 110,            0.030606,            0.016024,           0.0023961,             0.86741,             0.85473,             0.87033,              0.5045,            0.031304,           0.0085622,           0.0019167,            0.006403,            0.006403,            0.006403
                 111,            0.031076,            0.016098,           0.0023783,             0.87967,             0.84165,             0.86899,             0.50079,            0.031584,           0.0085793,           0.0019144,             0.00637,             0.00637,             0.00637
                 112,            0.030551,             0.01568,           0.0021653,             0.89007,             0.84978,             0.87212,             0.49132,            0.031257,           0.0084243,           0.0018279,            0.006337,            0.006337,            0.006337
                 113,            0.031295,              0.0159,           0.0022367,             0.85761,             0.85455,             0.86352,             0.48628,            0.031284,           0.0084314,           0.0020822,            0.006304,            0.006304,            0.006304
                 114,            0.030042,            0.015562,            0.002183,             0.88827,             0.84009,             0.86042,             0.48787,            0.031077,           0.0083963,           0.0017772,            0.006271,            0.006271,            0.006271
                 115,            0.030629,            0.015754,           0.0020233,             0.89012,             0.84556,             0.87156,              0.4929,            0.030955,           0.0084122,           0.0017134,            0.006238,            0.006238,            0.006238
                 116,            0.030572,            0.015494,           0.0021802,              0.8814,             0.83338,             0.86868,             0.49225,            0.031289,           0.0083949,           0.0021698,            0.006205,            0.006205,            0.006205
                 117,            0.030029,            0.015482,           0.0023491,             0.87276,             0.85343,             0.87191,             0.48573,            0.030912,           0.0084124,           0.0017334,            0.006172,            0.006172,            0.006172
                 118,            0.030316,            0.015857,           0.0022746,             0.86071,             0.86035,             0.88031,             0.48741,            0.030791,           0.0085124,           0.0016905,            0.006139,            0.006139,            0.006139
                 119,            0.030401,             0.01563,           0.0021817,             0.87553,             0.86357,             0.87066,             0.49541,            0.031206,           0.0084792,           0.0020853,            0.006106,            0.006106,            0.006106
                 120,            0.030093,            0.015198,           0.0021281,              0.8758,             0.84195,             0.86956,             0.49274,            0.030975,           0.0086168,           0.0021869,            0.006073,            0.006073,            0.006073
                 121,            0.029764,            0.015363,           0.0021298,             0.87393,             0.84927,             0.86576,             0.49443,            0.030906,           0.0086444,           0.0019175,             0.00604,             0.00604,             0.00604
                 122,            0.030061,            0.016071,           0.0017762,             0.89501,             0.85699,             0.88076,             0.51176,            0.030969,           0.0084937,           0.0018104,            0.006007,            0.006007,            0.006007
                 123,            0.029764,            0.015862,           0.0018293,             0.88213,             0.85765,             0.87551,             0.51896,            0.030511,           0.0084387,           0.0017964,            0.005974,            0.005974,            0.005974
                 124,            0.029546,             0.01539,           0.0019597,             0.89053,             0.85057,             0.87312,             0.50143,            0.030547,           0.0083696,           0.0016173,            0.005941,            0.005941,            0.005941
                 125,            0.029775,            0.015053,           0.0017345,             0.89335,             0.84006,             0.87057,             0.49908,            0.030941,           0.0083946,           0.0016701,            0.005908,            0.005908,            0.005908
                 126,            0.029957,            0.015268,           0.0018418,             0.87033,              0.8683,             0.87221,             0.50221,            0.030752,           0.0084598,           0.0016282,            0.005875,            0.005875,            0.005875
                 127,            0.029461,            0.015296,            0.001683,             0.89046,             0.84974,             0.87666,             0.50427,            0.030995,           0.0084506,           0.0018804,            0.005842,            0.005842,            0.005842
                 128,            0.029453,            0.015059,            0.001776,              0.8702,             0.85459,              0.8702,             0.49969,            0.030683,           0.0083272,           0.0016012,            0.005809,            0.005809,            0.005809
                 129,            0.029026,            0.015328,           0.0019094,             0.88436,             0.85367,             0.87253,              0.4947,            0.030714,           0.0084438,           0.0015959,            0.005776,            0.005776,            0.005776
                 130,            0.028961,            0.015073,           0.0018299,             0.89828,             0.85898,              0.8795,             0.49858,            0.030842,           0.0084254,           0.0016525,            0.005743,            0.005743,            0.005743
                 131,            0.029701,             0.01563,           0.0018761,             0.88991,             0.85739,             0.88013,              0.4915,            0.030677,           0.0085915,           0.0016229,             0.00571,             0.00571,             0.00571
                 132,            0.029408,            0.015705,           0.0018664,             0.89879,             0.86177,             0.88394,             0.50337,             0.03048,           0.0083706,           0.0015526,            0.005677,            0.005677,            0.005677
                 133,            0.029702,            0.015373,           0.0018584,             0.89248,             0.85166,             0.86987,             0.50278,            0.030513,           0.0083277,           0.0017575,            0.005644,            0.005644,            0.005644
                 134,            0.029372,            0.014719,           0.0018229,             0.89634,              0.8632,             0.87307,             0.49335,            0.030774,           0.0083661,           0.0015738,            0.005611,            0.005611,            0.005611
                 135,            0.028781,            0.015284,           0.0020959,             0.87781,             0.86174,             0.86751,             0.49678,            0.030384,           0.0083832,           0.0016936,            0.005578,            0.005578,            0.005578
                 136,            0.028999,            0.015054,           0.0019871,             0.89889,             0.84392,             0.87449,             0.50645,            0.029952,           0.0084155,            0.001605,            0.005545,            0.005545,            0.005545
                 137,            0.028928,            0.015292,           0.0019777,             0.87293,             0.85829,             0.87228,             0.50096,            0.030205,           0.0084442,           0.0016633,            0.005512,            0.005512,            0.005512
                 138,            0.028597,            0.014942,            0.002219,             0.88306,             0.84411,              0.8648,             0.49048,            0.030612,           0.0084643,           0.0016187,            0.005479,            0.005479,            0.005479
                 139,            0.028741,            0.014817,           0.0016503,             0.88219,             0.85868,              0.8699,             0.49865,            0.030415,           0.0084579,           0.0016127,            0.005446,            0.005446,            0.005446
                 140,            0.028843,            0.015193,           0.0015723,             0.88815,             0.85701,             0.88488,             0.51497,            0.030128,           0.0083718,           0.0014806,            0.005413,            0.005413,            0.005413
                 141,             0.02881,            0.014782,           0.0018425,               0.889,             0.85949,             0.87776,             0.51177,            0.030171,           0.0084213,           0.0014986,             0.00538,             0.00538,             0.00538
