epoch,iteration,lr,train_loss_loc,train_loss_conf,train_loss_total,val_loss_loc,val_loss_conf,val_loss_total,val_mAP_0.5,val_mAP_0.5_0.95,val_P,val_R,val_F1
18,900,0.001,1.943305699825287,1.5873169207572937,3.5306226205825806,1.7318073034286499,1.5081896225611369,3.2399969259897867,0.20082344173578295,0.0735471162430377,0.3170590309543146,0.2459478143240549,0.22552960890464796
19,950,0.001,1.829858841896057,1.549428105354309,3.379286947250366,1.7427717367808024,1.4935219367345174,3.23629367351532,0.19570216508329236,0.0768936555042206,0.25261836776319607,0.2101691309942401,0.20813622659974432
20,1000,0.0001,1.8095790076255798,1.5246224784851075,3.334201486110687,1.6973369439442954,1.4598857323328653,3.1572226762771605,0.1306906762616252,0.04695906090265165,0.1575865358627237,0.19125111686037843,0.14446118245554457
21,1050,0.0001,1.6891765451431275,1.4680982756614684,3.157274820804596,1.513576058546702,1.387450345357259,2.901026403903961,0.23603411357894152,0.08886935808978903,0.31837270957956704,0.26242454316860797,0.25722000739908385
22,1100,0.0001,1.639171874523163,1.4549880027770996,3.0941598773002625,1.4798492312431335,1.3761825402577719,2.8560317715009056,0.27068004644024984,0.11263552645315097,0.32067037142023314,0.30587590529916964,0.2862916358257676
23,1150,0.0001,1.5824549055099488,1.4274315357208252,3.009886441230774,1.476131808757782,1.36450568040212,2.840637489159902,0.27580626597667623,0.1199603424880955,0.38806017000925563,0.3434310285935286,0.3149271917280199
24,1200,0.0001,1.6204327321052552,1.408946967124939,3.0293796992301942,1.4557546337445577,1.358331569035848,2.8140862027804054,0.2807884756544177,0.11895337266238187,0.3929615627339614,0.32484108065685413,0.3115865179941276
25,1250,0.0001,1.5403691816329956,1.4001234650611878,2.9404926466941834,1.444988775253296,1.355739172299703,2.800727947552999,0.29286455449032883,0.12474439255276958,0.39784830809657523,0.3254449990601397,0.3133528940305509
26,1300,0.0001,1.5325947713851928,1.4198902678489684,2.952485039234161,1.4267512798309325,1.3535927613576253,2.780344041188558,0.2918089685330728,0.12434087659443019,0.4381652818883744,0.3244507761036345,0.3377188892331043
27,1350,0.0001,1.5677698683738708,1.4018429613113403,2.969612829685211,1.418794604142507,1.3519490083058676,2.7707436124483746,0.2944864763175294,0.12917326349294167,0.44308114307964963,0.3302483422478105,0.3295203822511502
28,1400,0.0001,1.5815381360054017,1.4045323038101196,2.9860704398155216,1.4187223513921101,1.339411989847819,2.758134341239929,0.3030621804670829,0.12560742136771227,0.4471075618785455,0.33066577250813245,0.3431271142247468
29,1450,0.0001,1.5605613088607788,1.3990351009368895,2.959596409797668,1.4030620614687601,1.340519388516744,2.743581449985504,0.3272127536324779,0.14895280640959727,0.45176314791252636,0.33085676452174184,0.34505245080846253
